datetime,temperature
2025/5/31 1:00,15
2025/5/31 2:00,15
2025/5/31 3:00,14.2
2025/5/31 4:00,14.3
2025/5/31 5:00,14.3
2025/5/31 6:00,14.9
2025/5/31 7:00,15.1
2025/5/31 8:00,15.3
2025/5/31 9:00,16.4
2025/5/31 10:00,16.7
2025/5/31 11:00,18
2025/5/31 12:00,18.1
2025/5/31 13:00,18
2025/5/31 14:00,14.8
2025/5/31 15:00,14.3
2025/5/31 16:00,13.8
2025/5/31 17:00,13.8
2025/5/31 18:00,14
2025/5/31 19:00,13.9
2025/5/31 20:00,13.9
2025/5/31 21:00,13.4
2025/5/31 22:00,13.1
2025/5/31 23:00,13.6
2025/6/1 0:00,13.7
2025/6/1 1:00,13.5
2025/6/1 2:00,13.8
2025/6/1 3:00,13.6
2025/6/1 4:00,13.6
2025/6/1 5:00,13.6
2025/6/1 6:00,13.7
2025/6/1 7:00,13.9
2025/6/1 8:00,14.8
2025/6/1 9:00,16.1
2025/6/1 10:00,17.7
2025/6/1 11:00,19.6
2025/6/1 12:00,18.8
2025/6/1 13:00,18.2
2025/6/1 14:00,17.7
2025/6/1 15:00,17.7
2025/6/1 16:00,17.4
2025/6/1 17:00,17.2
2025/6/1 18:00,15.7
2025/6/1 19:00,15.7
2025/6/1 20:00,14.7
2025/6/1 21:00,14.2
2025/6/1 22:00,14.1
2025/6/1 23:00,13.8
2025/6/2 0:00,13.2
2025/6/2 1:00,13.1
2025/6/2 2:00,12.4
2025/6/2 3:00,12.6
2025/6/2 4:00,12.5
2025/6/2 5:00,12.4
2025/6/2 6:00,13
2025/6/2 7:00,13.2
2025/6/2 8:00,15.6
2025/6/2 9:00,17.6
2025/6/2 10:00,18.2
2025/6/2 11:00,20.2
2025/6/2 12:00,20.9
2025/6/2 13:00,22.6
2025/6/2 14:00,23.9
2025/6/2 15:00,23.7
2025/6/2 16:00,23.3
2025/6/2 17:00,23.3
2025/6/2 18:00,22.5
2025/6/2 19:00,20.9
2025/6/2 20:00,20
2025/6/2 21:00,19.5
2025/6/2 22:00,18.4
2025/6/2 23:00,18
2025/6/3 0:00,17.5
2025/6/3 1:00,17.2
2025/6/3 2:00,16.3
2025/6/3 3:00,16.1
2025/6/3 4:00,16.4
2025/6/3 5:00,16.3
2025/6/3 6:00,17
2025/6/3 7:00,17.8
2025/6/3 8:00,18.1
2025/6/3 9:00,18.7
2025/6/3 10:00,19.8
2025/6/3 11:00,19.8
2025/6/3 12:00,20
2025/6/3 13:00,20.7
2025/6/3 14:00,19.1
2025/6/3 15:00,18.1
2025/6/3 16:00,17.9
2025/6/3 17:00,17.8
2025/6/3 18:00,17.4
2025/6/3 19:00,17.7
2025/6/3 20:00,17.3
2025/6/3 21:00,17.4
2025/6/3 22:00,17.1
2025/6/3 23:00,17.1
2025/6/4 0:00,16.7
2025/6/4 1:00,16.8
2025/6/4 2:00,16.5
2025/6/4 3:00,16.9
2025/6/4 4:00,16.8
2025/6/4 5:00,17.4
2025/6/4 6:00,17.6
2025/6/4 7:00,18.4
2025/6/4 8:00,18.5
2025/6/4 9:00,19.3
2025/6/4 10:00,20
2025/6/4 11:00,20.1
2025/6/4 12:00,22
2025/6/4 13:00,20.8
2025/6/4 14:00,22
2025/6/4 15:00,23
2025/6/4 16:00,22.5
2025/6/4 17:00,22
2025/6/4 18:00,21
2025/6/4 19:00,19.3
2025/6/4 20:00,18.4
2025/6/4 21:00,17.7
2025/6/4 22:00,17.3
2025/6/4 23:00,16.1
2025/6/5 0:00,14.8
2025/6/5 1:00,14
2025/6/5 2:00,13
2025/6/5 3:00,12.5
2025/6/5 4:00,12
2025/6/5 5:00,12.3
2025/6/5 6:00,14.2
2025/6/5 7:00,15.8
2025/6/5 8:00,17.7
2025/6/5 9:00,20.6
2025/6/5 10:00,23.8
2025/6/5 11:00,24.1
2025/6/5 12:00,24.4
2025/6/5 13:00,23.1
2025/6/5 14:00,22.6
2025/6/5 15:00,23.3
2025/6/5 16:00,22.6
2025/6/5 17:00,22.4
2025/6/5 18:00,20.9
2025/6/5 19:00,19.4
2025/6/5 20:00,17.6
2025/6/5 21:00,16.4
2025/6/5 22:00,15.2
2025/6/5 23:00,14.5
2025/6/6 0:00,13.8
2025/6/6 1:00,13.4
2025/6/6 2:00,12.7
2025/6/6 3:00,12.4
2025/6/6 4:00,12.2
2025/6/6 5:00,12
2025/6/6 6:00,12.7
2025/6/6 7:00,13.6
2025/6/6 8:00,15.4
2025/6/6 9:00,18.4
2025/6/6 10:00,20.3
2025/6/6 11:00,21.5
2025/6/6 12:00,23.6
2025/6/6 13:00,24.8
2025/6/6 14:00,25.8
2025/6/6 15:00,26.4
2025/6/6 16:00,26.2
2025/6/6 17:00,26.5
2025/6/6 18:00,25.5
2025/6/6 19:00,23.6
2025/6/6 20:00,22.2
2025/6/6 21:00,21.1
2025/6/6 22:00,20.3
2025/6/6 23:00,19.1
2025/6/7 0:00,18.2
2025/6/7 1:00,18.4
2025/6/7 2:00,18
2025/6/7 3:00,18.1
2025/6/7 4:00,18.3
2025/6/7 5:00,18.5
2025/6/7 6:00,18.3
2025/6/7 7:00,20.5
2025/6/7 8:00,22.3
2025/6/7 9:00,24.3
2025/6/7 10:00,25.9
2025/6/7 11:00,28.2
2025/6/7 12:00,28.3
2025/6/7 13:00,29.6
2025/6/7 14:00,29.7
2025/6/7 15:00,30.4
2025/6/7 16:00,29.4
2025/6/7 17:00,27.3
2025/6/7 18:00,26.2
2025/6/7 19:00,24.4
2025/6/7 20:00,23.6
2025/6/7 21:00,20.9
2025/6/7 22:00,20
2025/6/7 23:00,18.9
2025/6/8 0:00,18.5
2025/6/8 1:00,17.9
2025/6/8 2:00,17.1
2025/6/8 3:00,17.1
2025/6/8 4:00,16.7
2025/6/8 5:00,16.4
2025/6/8 6:00,17
2025/6/8 7:00,17.6
2025/6/8 8:00,18.1
2025/6/8 9:00,19.9
2025/6/8 10:00,21.1
2025/6/8 11:00,23.9
2025/6/8 12:00,25.3
2025/6/8 13:00,27.3
2025/6/8 14:00,27.5
2025/6/8 15:00,27.6
2025/6/8 16:00,27.2
2025/6/8 17:00,27
2025/6/8 18:00,26.1
2025/6/8 19:00,24.8
2025/6/8 20:00,23.5
2025/6/8 21:00,21.2
2025/6/8 22:00,20.4
2025/6/8 23:00,19.9
2025/6/9 0:00,18.9
2025/6/9 1:00,18.4
2025/6/9 2:00,17.3
2025/6/9 3:00,16.6
2025/6/9 4:00,16
2025/6/9 5:00,16.3
2025/6/9 6:00,17.6
2025/6/9 7:00,18.6
2025/6/9 8:00,19.7
2025/6/9 9:00,22.9
2025/6/9 10:00,24.6
2025/6/9 11:00,26.3
2025/6/9 12:00,29.2
2025/6/9 13:00,30.1
2025/6/9 14:00,29.7
2025/6/9 15:00,28.5
2025/6/9 16:00,27.1
2025/6/9 17:00,26.3
2025/6/9 18:00,25.4
2025/6/9 19:00,24.3
2025/6/9 20:00,23.4
2025/6/9 21:00,23
2025/6/9 22:00,22.5
2025/6/9 23:00,21.8
2025/6/10 0:00,20.7
2025/6/10 1:00,20.4
2025/6/10 2:00,19
2025/6/10 3:00,18.8
2025/6/10 4:00,18.7
2025/6/10 5:00,18.4
2025/6/10 6:00,19.1
2025/6/10 7:00,20.6
2025/6/10 8:00,23.3
2025/6/10 9:00,24.6
2025/6/10 10:00,24.7
2025/6/10 11:00,23.7
2025/6/10 12:00,23.3
2025/6/10 13:00,23.5
2025/6/10 14:00,21.8
2025/6/10 15:00,21.5
2025/6/10 16:00,21.7
2025/6/10 17:00,22.1
2025/6/10 18:00,21.6
2025/6/10 19:00,21.1
2025/6/10 20:00,21
2025/6/10 21:00,20.5
2025/6/10 22:00,20.6
2025/6/10 23:00,20.4
2025/6/11 0:00,20.2
